Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 35,Himsuta AC Seater Volvo/Scania 2+2,4.6,22:00,06:15,08h 15m,"9 Seats available
2 Window",INR 892
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,3.4,22:00,06:30,08h 30m,"27 Seats available
9 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 136,Ordinary 3+2 Non AC Seater,2.3,22:30,06:30,08h 00m,"27 Seats available
9 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 92,Himsuta AC Seater Volvo/Scania 2+2,4.5,22:30,07:00,08h 30m,"9 Seats available
2 Window",INR 892
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,3.1,16:30,02:00,09h 30m,"31 Seats available
14 Window",INR 1103
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),4.7,21:30,05:30,08h 00m,"21 Seats available
9 Window",495
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),4.4,20:30,04:30,08h 00m,"42 Seats available
21 Window",569
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4.4,20:30,04:35,08h 05m,"30 Seats available
14 Window",531
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),4.3,21:00,05:40,08h 40m,"46 Seats available
22 Window",648
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),3.9,22:30,05:30,07h 00m,"29 Seats available
14 Window",529
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),4.2,22:00,05:30,07h 30m,"40 Seats available
20 Window",648
